record_id,well_id,time_days,observed_concentration_mg_L,clean_concentration_mg_L
PV00576,W035,540.0,0.0,1.6203941412259292e-101
PV00140,W016,720.0,0.014130930566368658,0.016162147327632968
PV00559,W034,1620.0,0.0003104288133242262,1.539234844262459e-07
PV00515,W032,1980.0,0.12041597685548444,0.12017201954533477
PV00442,W029,1260.0,10.369084629258593,8.501916366226415e-06
PV00397,W027,1440.0,4.8290361245353415,0.17049885412633412
PV00466,W030,1440.0,0.0,0.0015785283559489615
PV00467,W030,1620.0,0.04467522550248855,0.05053075109324353
PV00252,W020,4320.0,0.0,4.6588832274266636e-07
PV00222,W019,3060.0,0.020471876888517416,0.0072171428087820025
PV00392,W027,540.0,0.0008519903221253483,3.220063145363875e-36
PV00453,W029,3240.0,8.125738539549843e-06,1.1933647673165209
PV00097,W014,1260.0,10.487943956441848,9.93302032713637
PV00468,W030,1800.0,0.39646990059909376,0.48601589201461376
PV00562,W034,2160.0,0.022571824531122067,0.02020182135293255
PV00459,W029,4320.0,8.230048519251201e-10,0.003971286233841781
PV00023,W011,360.0,0.0,2.2627131605327754e-09
PV00526,W032,3960.0,0.4167887741307468,0.27954710764682283
PV00355,W025,2160.0,8.77856691306261,8.619962271178444
PV00292,W022,3240.0,0.02590477378386514,0.024512638232166185
PV00300,W023,540.0,0.0006027936518297059,1.842717470790826e-23
