record_id,well_id,time_days,anomaly_label,event_id,root_cause
PV00339,W024,3420.0,time_shift,E022,timestamp shift moves plume peak relative to travel-time ordering
PV00337,W024,3060.0,time_shift,E022,timestamp shift moves plume peak relative to travel-time ordering
PV00402,W027,2340.0,time_shift,E021,timestamp shift moves plume peak relative to travel-time ordering
PV00327,W024,1260.0,time_shift,E022,timestamp shift moves plume peak relative to travel-time ordering
PV00328,W024,1440.0,time_shift,E022,timestamp shift moves plume peak relative to travel-time ordering
PV00542,W033,2700.0,true_plume_arrival,E001,real plume arrival consistent with downstream travel
PV00212,W019,1260.0,true_plume_arrival,E003,real plume arrival consistent with downstream travel
PV00426,W028,2520.0,true_plume_arrival,E002,real plume arrival consistent with downstream travel
PV00211,W019,1080.0,true_plume_arrival,E003,real plume arrival consistent with downstream travel
PV00541,W033,2520.0,true_plume_arrival,E001,real plume arrival consistent with downstream travel
PV00423,W028,1980.0,true_plume_arrival,E002,real plume arrival consistent with downstream travel
PV00543,W033,2880.0,true_plume_arrival,E001,real plume arrival consistent with downstream travel
PV00425,W028,2340.0,true_plume_arrival,E002,real plume arrival consistent with downstream travel
PV00424,W028,2160.0,true_plume_arrival,E002,real plume arrival consistent with downstream travel
PV00540,W033,2340.0,true_plume_arrival,E001,real plume arrival consistent with downstream travel
PV00150,W016,2520.0,unit_error,E015,mg/L and ug/L style scale mismatch
PV00557,W034,1260.0,unit_error,E014,mg/L and ug/L style scale mismatch
PV00149,W016,2340.0,unit_error,E015,mg/L and ug/L style scale mismatch
PV00556,W034,1080.0,unit_error,E014,mg/L and ug/L style scale mismatch
